salesorderid,salesorderitem,productid,currency_item,grossamount_item,netamount_item,taxamount_item,quantity,quantityunit,deliverydate,createdby,createdat,fiscalyearperiod,partnerid,salesorg,grossamount_order,netamount_order,taxamount_order,deliverystatus,companyname,prodcategoryid,city,street,country,region,latitude,longitude,short_descr
500000000,10,MB-1034,USD,2499,2186.625,312.375,4,EA,2018-03-11,4,2018-01-11,2018001,100000022,APJ,13587,11888.625,1698.375,C,Tires On Fire,MB,Mumbai,Rewa Fort Colony,IN,APJ,19.046575,72.864262,Mountain Bike
500000000,20,CB-1161,USD,399,349.125,49.875,9,EA,2018-03-11,4,2018-01-11,2018001,100000022,APJ,13587,11888.625,1698.375,C,Tires On Fire,CB,Mumbai,Rewa Fort Colony,IN,APJ,19.046575,72.864262,Cruiser
500000001,10,HB-1175,USD,899,786.625,112.375,2,EA,2018-02-28,2,2018-01-12,2018001,100000026,EMEA,12622,11044.25,1577.75,C,Antonio Bandolera,HB,Dubai,Box No. 39388,DU,EMEA,25.013792,55.131876,Hybrid Bike
500000001,20,RC-1056,USD,2499,2186.625,312.375,2,EA,2018-02-28,2,2018-01-12,2018001,100000026,EMEA,12622,11044.25,1577.75,C,Antonio Bandolera,RC,Dubai,Box No. 39388,DU,EMEA,25.013792,55.131876,Racing Bike
500000001,30,CC-1021,USD,1144,1001.0,143.0,3,EA,2018-02-28,2,2018-01-12,2018001,100000026,EMEA,12622,11044.25,1577.75,C,Antonio Bandolera,CC,Dubai,Box No. 39388,DU,EMEA,25.013792,55.131876,Cyclo-cross Bike
500000001,40,CB-1161,USD,399,349.125,49.875,6,EA,2018-02-28,2,2018-01-12,2018001,100000026,EMEA,12622,11044.25,1577.75,C,Antonio Bandolera,CB,Dubai,Box No. 39388,DU,EMEA,25.013792,55.131876,Cruiser
500000002,10,HB-1175,USD,899,786.625,112.375,6,EA,2018-03-09,5,2018-01-15,2018001,100000018,APJ,45655,39948.125,5706.875,C,TechCycle Canberra,HB,Canberra,Quayside Vista,AU,APJ,-35.279663,149.126715,Hybrid Bike
500000002,20,RC-1055,USD,1999,1749.125,249.875,3,EA,2018-03-09,5,2018-01-15,2018001,100000018,APJ,45655,39948.125,5706.875,C,TechCycle Canberra,RC,Canberra,Quayside Vista,AU,APJ,-35.279663,149.126715,Racing Bike
500000002,30,DB-1081,USD,1499,1311.625,187.375,3,EA,2018-03-09,5,2018-01-15,2018001,100000018,APJ,45655,39948.125,5706.875,C,TechCycle Canberra,DB,Canberra,Quayside Vista,AU,APJ,-35.279663,149.126715,Downhill Bike
500000002,40,EB-1133,USD,2250,1968.75,281.25,10,EA,2018-03-09,5,2018-01-15,2018001,100000018,APJ,45655,39948.125,5706.875,C,TechCycle Canberra,EB,Canberra,Quayside Vista,AU,APJ,-35.279663,149.126715,eBike
500000002,50,BX-1015,USD,299,261.625,37.375,9,EA,2018-03-09,5,2018-01-15,2018001,100000018,APJ,45655,39948.125,5706.875,C,TechCycle Canberra,BX,Canberra,Quayside Vista,AU,APJ,-35.279663,149.126715,BMX
500000002,60,CC-1021,USD,1144,1001.0,143.0,4,EA,2018-03-09,5,2018-01-15,2018001,100000018,APJ,45655,39948.125,5706.875,C,TechCycle Canberra,CC,Canberra,Quayside Vista,AU,APJ,-35.279663,149.126715,Cyclo-cross Bike
500000003,10,RC-1056,USD,2499,2186.625,312.375,3,EA,2018-02-23,3,2018-01-15,2018001,100000009,EMEA,101786,89062.75,12723.25,C,Meine Bicycle,RC,Augsburg,Sonnenallee,DE,EMEA,48.370625,10.893961,Racing Bike
500000003,20,BX-1013,USD,449,392.875,56.125,2,EA,2018-02-23,3,2018-01-15,2018001,100000009,EMEA,101786,89062.75,12723.25,C,Meine Bicycle,BX,Augsburg,Sonnenallee,DE,EMEA,48.370625,10.893961,BMX
500000003,30,RC-1056,USD,2499,2186.625,312.375,5,EA,2018-02-23,3,2018-01-15,2018001,100000009,EMEA,101786,89062.75,12723.25,C,Meine Bicycle,RC,Augsburg,Sonnenallee,DE,EMEA,48.370625,10.893961,Racing Bike
500000003,40,CB-1161,USD,399,349.125,49.875,1,EA,2018-02-23,3,2018-01-15,2018001,100000009,EMEA,101786,89062.75,12723.25,C,Meine Bicycle,CB,Augsburg,Sonnenallee,DE,EMEA,48.370625,10.893961,Cruiser
500000003,50,EB-1131,USD,1500,1312.5,187.5,10,EA,2018-02-23,3,2018-01-15,2018001,100000009,EMEA,101786,89062.75,12723.25,C,Meine Bicycle,EB,Augsburg,Sonnenallee,DE,EMEA,48.370625,10.893961,eBike
500000003,60,MB-1034,USD,2499,2186.625,312.375,3,EA,2018-02-23,3,2018-01-15,2018001,100000009,EMEA,101786,89062.75,12723.25,C,Meine Bicycle,MB,Augsburg,Sonnenallee,DE,EMEA,48.370625,10.893961,Mountain Bike
500000003,70,DB-1082,USD,1250,1093.75,156.25,8,EA,2018-02-23,3,2018-01-15,2018001,100000009,EMEA,101786,89062.75,12723.25,C,Meine Bicycle,DB,Augsburg,Sonnenallee,DE,EMEA,48.370625,10.893961,Downhill Bike
500000003,80,EB-1134,USD,4800,4200.0,600.0,10,EA,2018-02-23,3,2018-01-15,2018001,100000009,EMEA,101786,89062.75,12723.25,C,Meine Bicycle,EB,Augsburg,Sonnenallee,DE,EMEA,48.370625,10.893961,eBike
500000004,10,BX-1014,USD,799,699.125,99.875,3,EA,2018-03-05,8,2018-01-16,2018001,100000025,EMEA,71684,62723.5,8960.5,C,Homerun Millwork Inc.,BX,Jebel Ali Free Zone,Box No. 18673,DU,EMEA,25.006517,55.065244,BMX
500000004,20,EB-1134,USD,4800,4200.0,600.0,2,EA,2018-03-05,8,2018-01-16,2018001,100000025,EMEA,71684,62723.5,8960.5,C,Homerun Millwork Inc.,EB,Jebel Ali Free Zone,Box No. 18673,DU,EMEA,25.006517,55.065244,eBike
500000004,30,CB-1163,USD,288,252.0,36.0,8,EA,2018-03-05,8,2018-01-16,2018001,100000025,EMEA,71684,62723.5,8960.5,C,Homerun Millwork Inc.,CB,Jebel Ali Free Zone,Box No. 18673,DU,EMEA,25.006517,55.065244,Cruiser
500000004,40,BX-1013,USD,449,392.875,56.125,6,EA,2018-03-05,8,2018-01-16,2018001,100000025,EMEA,71684,62723.5,8960.5,C,Homerun Millwork Inc.,BX,Jebel Ali Free Zone,Box No. 18673,DU,EMEA,25.006517,55.065244,BMX
